rank,ip,latency_ms,region,reachable
1,108.162.192.8,53,新加坡,True
2,162.159.62.248,53,其他,True
3,162.159.34.97,53,其他,True
4,108.162.192.2,54,新加坡,True
5,108.162.192.7,54,其他,True
6,108.162.192.3,55,新加坡,True
7,108.162.192.9,55,新加坡,True
8,108.162.192.4,56,新加坡,True
9,108.162.192.6,57,新加坡,True
10,108.162.198.17,58,日本,True
11,108.162.198.11,58,日本,True
12,108.162.198.7,58,日本,True
13,108.162.198.13,58,日本,True
14,108.162.198.18,59,日本,True
15,108.162.198.8,59,日本,True
16,172.64.229.5,59,其他,True
17,108.162.198.3,59,日本,True
18,108.162.198.9,59,日本,True
19,108.162.198.4,59,日本,True
20,108.162.198.5,59,日本,True
21,108.162.198.1,59,日本,True
22,108.162.198.2,59,日本,True
23,108.162.198.14,59,日本,True
24,172.64.229.6,60,其他,True
25,108.162.198.10,60,日本,True
26,108.162.198.19,60,日本,True
27,108.162.198.16,60,日本,True
28,108.162.198.6,60,日本,True
29,108.162.198.12,60,日本,True
30,172.64.229.3,60,其他,True
31,172.64.229.7,61,其他,True
32,172.64.229.4,61,其他,True
33,108.162.198.15,61,日本,True
34,172.64.229.8,63,其他,True
35,162.159.40.130,104,其他,True
36,172.66.0.9,165,其他,True
37,103.21.244.1,165,美国,True
38,103.21.244.9,166,美国,True
39,103.21.244.6,166,美国,True
40,172.64.230.7,166,其他,True
41,172.64.230.2,166,其他,True
42,172.64.230.6,166,其他,True
43,172.64.230.9,166,其他,True
44,172.64.230.1,166,其他,True
45,103.21.244.5,166,美国,True
46,172.66.0.8,166,其他,True
47,172.64.230.5,167,其他,True
48,103.21.244.8,167,美国,True
49,172.66.0.5,168,其他,True
50,172.66.0.7,168,其他,True
51,103.21.244.3,169,美国,True
52,172.64.230.4,169,其他,True
53,103.21.244.4,172,美国,True
54,103.21.244.7,173,美国,True
55,172.66.0.2,173,其他,True
56,103.21.244.2,176,美国,True
57,172.64.232.3,193,其他,True
58,172.66.198.96,205,美国,True
59,172.64.232.9,206,其他,True
60,172.64.232.5,211,其他,True
61,172.67.71.43,217,法兰克福,True
62,172.64.232.8,226,其他,True
63,108.162.192.5,228,新加坡,True
64,172.64.232.7,238,其他,True
65,172.64.232.4,251,其他,True
,162.159.0.1,,新加坡,False
,104.17.0.9,,其他,False
,104.27.0.8,,其他,False
,104.25.0.5,,其他,False
,162.159.0.9,,新加坡,False
,104.21.0.5,,其他,False
,103.31.4.7,,其他,False
,104.19.0.1,,其他,False
,104.20.0.7,,荷兰,False
,104.26.0.9,,其他,False
,104.25.0.4,,德国,False
,104.16.0.6,,其他,False
,104.27.0.6,,德国,False
,104.18.0.7,,其他,False
,172.65.0.3,,其他,False
,104.16.0.2,,其他,False
,104.25.0.9,,德国,False
,188.114.96.8,,荷兰,False
,104.24.0.1,,德国,False
,104.20.0.6,,荷兰,False
,104.16.0.7,,其他,False
,104.24.0.8,,德国,False
,104.21.0.8,,其他,False
,103.31.4.9,,其他,False
,104.18.0.4,,其他,False
,162.159.0.3,,新加坡,False
,104.27.0.1,,其他,False
,104.24.0.6,,德国,False
,104.16.0.9,,其他,False
,104.18.0.6,,其他,False
,104.19.0.6,,其他,False
,104.16.0.4,,其他,False
,104.17.0.6,,其他,False
,104.25.0.8,,德国,False
,104.24.0.5,,德国,False
,104.20.0.5,,荷兰,False
,104.17.0.1,,其他,False
,162.159.0.7,,新加坡,False
,104.20.0.3,,荷兰,False
,104.19.0.9,,其他,False
,104.17.0.2,,其他,False
,104.17.0.4,,其他,False
,104.20.0.4,,荷兰,False
,172.65.0.5,,其他,False
,188.114.96.7,,荷兰,False
,172.65.0.7,,其他,False
,104.24.0.9,,德国,False
,103.31.4.6,,其他,False
,172.65.0.9,,其他,False
,104.24.0.3,,德国,False
,104.17.0.7,,其他,False
,104.27.0.5,,德国,False
,104.25.0.6,,其他,False
,104.19.0.8,,其他,False
,103.31.4.5,,其他,False
,188.114.96.9,,荷兰,False
,104.19.0.5,,其他,False
,104.26.0.6,,其他,False
,188.114.96.2,,荷兰,False
,104.16.0.8,,其他,False
,104.21.0.6,,其他,False
,172.65.0.2,,其他,False
,172.65.0.6,,其他,False
,104.21.0.2,,其他,False
,104.19.0.2,,其他,False
,104.25.0.1,,德国,False
,104.16.0.3,,其他,False
,103.31.4.2,,其他,False
,162.159.0.5,,新加坡,False
,104.27.0.2,,德国,False
,104.26.0.7,,其他,False
,172.64.32.7,,新加坡,False
,172.64.32.5,,新加坡,False
,162.159.0.2,,新加坡,False
,162.159.0.8,,新加坡,False
,162.159.0.4,,新加坡,False
,172.64.32.2,,新加坡,False
,172.64.32.3,,新加坡,False
,172.64.32.1,,新加坡,False
,104.24.0.7,,德国,False
,104.27.0.7,,德国,False
,104.25.0.7,,德国,False
,104.24.0.4,,德国,False
,104.27.0.9,,德国,False
,104.25.0.2,,德国,False
,104.25.0.3,,德国,False
,188.114.96.4,,荷兰,False
,104.20.0.8,,荷兰,False
,188.114.96.1,,荷兰,False
,188.114.96.3,,荷兰,False
,104.20.0.2,,荷兰,False
,188.114.96.6,,荷兰,False
,188.114.96.5,,荷兰,False
,104.20.0.1,,荷兰,False
,104.20.0.9,,荷兰,False
,162.159.194.14,,美国,False
,104.18.138.89,,美国,False
,188.114.98.127,,美国,False
,188.114.99.126,,美国,False
,188.114.97.215,,美国,False
,188.114.96.164,,美国,False
,188.114.96.79,,美国,False
,104.16.93.104,,美国,False
,188.114.98.160,,美国,False
,104.18.141.165,,美国,False
,162.159.240.144,,美国,False
,104.20.56.158,,法兰克福,False
,104.20.60.61,,法兰克福,False
,104.20.62.181,,法兰克福,False
,104.20.56.189,,法兰克福,False
,104.20.49.226,,法兰克福,False
,104.17.136.17,,圣何塞,False
,104.17.134.48,,圣何塞,False
,104.18.46.199,,洛杉矶,False
,104.17.136.49,,圣何塞,False
,104.18.46.119,,洛杉矶,False
,104.18.32.236,,新加坡,False
