date,ip,latency_ms,region
2026-08-27,108.162.192.8,53,新加坡
2026-08-27,162.159.62.248,53,其他
2026-08-27,162.159.34.97,53,其他
2026-08-27,108.162.192.2,54,新加坡
2026-08-27,108.162.192.7,54,其他
2026-08-27,108.162.192.3,55,新加坡
2026-08-27,108.162.192.9,55,新加坡
2026-08-27,108.162.192.4,56,新加坡
2026-08-27,108.162.192.6,57,新加坡
2026-08-27,108.162.198.17,58,日本
2026-08-27,108.162.198.11,58,日本
2026-08-27,108.162.198.7,58,日本
2026-08-27,108.162.198.13,58,日本
2026-08-27,108.162.198.18,59,日本
2026-08-27,108.162.198.8,59,日本
2026-08-27,172.64.229.5,59,其他
2026-08-27,108.162.198.3,59,日本
2026-08-27,108.162.198.9,59,日本
2026-08-27,108.162.198.4,59,日本
2026-08-27,108.162.198.5,59,日本
2026-08-27,108.162.198.1,59,日本
2026-08-27,108.162.198.2,59,日本
2026-08-27,108.162.198.14,59,日本
2026-08-27,172.64.229.6,60,其他
2026-08-27,108.162.198.10,60,日本
2026-08-27,108.162.198.19,60,日本
2026-08-27,108.162.198.16,60,日本
2026-08-27,108.162.198.6,60,日本
2026-08-27,108.162.198.12,60,日本
2026-08-27,172.64.229.3,60,其他
2026-08-27,172.64.229.7,61,其他
2026-08-27,172.64.229.4,61,其他
2026-08-27,108.162.198.15,61,日本
2026-08-27,172.64.229.8,63,其他
2026-08-27,162.159.40.130,104,其他
2026-08-27,172.66.0.9,165,其他
2026-08-27,103.21.244.1,165,美国
2026-08-27,103.21.244.9,166,美国
2026-08-27,103.21.244.6,166,美国
2026-08-27,172.64.230.7,166,其他
2026-08-27,172.64.230.2,166,其他
2026-08-27,172.64.230.6,166,其他
2026-08-27,172.64.230.9,166,其他
2026-08-27,172.64.230.1,166,其他
2026-08-27,103.21.244.5,166,美国
2026-08-27,172.66.0.8,166,其他
2026-08-27,172.64.230.5,167,其他
2026-08-27,103.21.244.8,167,美国
2026-08-27,172.66.0.5,168,其他
2026-08-27,172.66.0.7,168,其他
2026-08-27,103.21.244.3,169,美国
2026-08-27,172.64.230.4,169,其他
2026-08-27,103.21.244.4,172,美国
2026-08-27,103.21.244.7,173,美国
2026-08-27,172.66.0.2,173,其他
2026-08-27,103.21.244.2,176,美国
2026-08-27,172.64.232.3,193,其他
2026-08-27,172.66.198.96,205,美国
2026-08-27,172.64.232.9,206,其他
2026-08-27,172.64.232.5,211,其他
2026-08-27,172.67.71.43,217,法兰克福
2026-08-27,172.64.232.8,226,其他
2026-08-27,108.162.192.5,228,新加坡
2026-08-27,172.64.232.7,238,其他
2026-08-27,172.64.232.4,251,其他
2026-08-27,108.162.192.7,53,其他
2026-08-27,108.162.192.2,57,新加坡
2026-08-27,108.162.198.3,60,日本
2026-08-27,108.162.198.4,60,日本
2026-08-27,108.162.198.1,60,日本
2026-08-27,108.162.198.5,61,日本
2026-08-27,108.162.198.9,61,日本
2026-08-27,108.162.198.7,61,日本
2026-08-27,108.162.198.15,61,日本
2026-08-27,108.162.198.8,61,日本
2026-08-27,172.64.229.5,61,其他
2026-08-27,172.64.229.7,62,其他
2026-08-27,172.64.229.4,62,其他
2026-08-27,172.64.229.8,63,其他
2026-08-27,172.64.229.6,64,其他
2026-08-27,172.64.229.3,65,其他
2026-08-27,172.64.230.5,166,其他
2026-08-27,103.21.244.1,168,美国
2026-08-27,103.21.244.9,168,美国
2026-08-27,103.21.244.8,168,美国
2026-08-28,172.64.229.3,60,其他
2026-08-28,172.64.229.5,62,其他
2026-08-28,172.64.229.6,62,其他
2026-08-28,172.64.229.4,63,其他
2026-08-28,172.64.229.7,64,其他
2026-08-28,172.66.0.9,160,其他
2026-08-28,172.64.230.5,161,其他
2026-08-28,103.21.244.6,162,美国
2026-08-28,172.64.230.1,163,其他
2026-08-28,172.66.0.2,163,其他
2026-08-28,172.64.229.5,62,其他
2026-08-28,172.64.229.6,63,其他
2026-08-28,172.64.229.3,63,其他
2026-08-28,172.64.229.7,65,其他
2026-08-28,172.64.229.4,65,其他
2026-08-28,103.21.244.6,163,美国
2026-08-28,172.64.230.2,163,其他
2026-08-28,172.64.230.7,163,其他
2026-08-28,172.64.230.6,164,其他
2026-08-28,103.21.244.3,165,美国
2026-08-29,104.18.43.146,52,新加坡
2026-08-29,104.18.43.157,53,新加坡
2026-08-29,172.64.229.7,61,其他
2026-08-29,172.64.229.4,61,其他
2026-08-29,172.64.229.8,62,其他
2026-08-29,172.64.229.6,62,其他
2026-08-29,172.64.229.3,63,其他
2026-08-29,172.64.229.5,63,其他
2026-08-29,104.18.141.165,161,美国
2026-08-29,104.16.0.7,161,其他
